CompanyID,Name,PhoneNo,Email
1,Anchor,948-723-6407,ebeig0@zimbio.com
2,Anchor Books,136-356-4517,wyarranton1@alibaba.com
3,Avon,457-555-7515,ccorton2@desdev.cn
4,Back Bay Books,427-425-3733,eminico3@discovery.com
5,Ballantine Books,229-969-6172,ddakhno4@epa.gov
6,Bantam,552-732-1919,cridoutt5@usda.gov
7,Bantam Books,432-221-3043,dmonini6@nba.com
8,Berkley,884-807-0449,dludye7@wikipedia.org
9,Bloomsbury Publishing,939-582-3700,tpomphrett8@ask.com
10,Del Rey Books,942-222-5117,tthicking9@imdb.com
11,Dial Press Trade Paperback,721-568-4644,kmazeya@webs.com
12,Faber & Faber,217-185-1106,wteanbyb@weather.com
13,Gramercy Books,259-474-6331,cyegorshinc@netvibes.com
14,Grand Central Publishing,276-451-1640,aeckfordd@blogs.com
15,HarperCollins,202-292-3410,zmcneile@multiply.com
16,Headline,124-243-9174,ddomneyf@youtube.com
17,Jove,914-938-2424,amaccartneyg@sakura.ne.jp
18,Mariner Books,815-956-9775,mgageh@blogs.com
19,Penguin,262-277-2700,sdangli@elpais.com
20,Penguin Books,566-241-3432,dsteptoj@weebly.com
21,Picador USA,619-441-5902,kcoathamk@dot.gov
22,Pocket Books,883-587-3541,iduffilll@symantec.com
23,Pragmatic Bookshelf,707-388-3058,mhendrixm@salon.com
24,Random House,246-875-9166,wsweedn@msu.edu
25,Random House Trade Paperbacks,265-886-6905,jalldritto@noaa.gov
26,Signet Classics,916-425-1550,ewhybornep@pbs.org
27,Simon  Schuster,854-824-8635,ccaganq@studiopress.com
28,St. Martin's Paperbacks,393-325-1007,wmcsperrinr@blinklist.com
29,Viking,610-462-9914,lwebermanns@stanford.edu
30,Vintage,919-393-0111,ebalselliet@techcrunch.com
31,Warner Books,556-380-1966,bhaddenu@hexun.com
32,Washington Square Press,957-456-7639,fkilkennyv@guardian.co.uk
33,Zebra Books,417-627-3067,lpenningsw@ucoz.com
